size_kb,cap_bytes,nseg,round_trips,store_p50_ms,load_p50_ms,load_p99_ms,load_mbps
128,1048576,1,1,1.21,1.06,7.59,377.67
256,1048576,1,1,1.61,1.18,4.96,759.13
512,1048576,1,1,1.99,1.74,3.58,1044.89
960,1048576,1,1,2.80,2.60,4.24,1433.03
1024,1048576,2,3,5.08,5.35,13.54,750.19
2048,1048576,3,4,7.45,6.28,16.24,1155.57
4096,1048576,5,6,10.96,11.17,14.35,1390.36
8128,1048576,9,10,18.48,21.17,29.75,1463.31
8192,1048576,9,10,21.17,18.56,23.47,1750.38
16384,1048576,18,19,28.36,35.34,42.89,1812.60
32768,1048576,35,36,51.65,72.69,83.90,1798.28
65536,1048576,69,70,99.33,140.78,146.95,1821.29
81920,1048576,86,87,139.80,173.07,190.09,1880.46
