size_kb,cap_bytes,nseg,round_trips,store_p50_ms,load_p50_ms,load_p99_ms,load_mbps
128,8388608,1,1,1.24,1.31,10.03,346.40
256,8388608,1,1,1.75,1.12,10.54,702.33
512,8388608,1,1,2.66,2.02,7.52,930.72
960,8388608,1,1,4.33,2.83,13.58,1189.54
1024,8388608,1,1,4.33,3.74,11.34,1063.05
2048,8388608,1,1,7.26,5.24,14.14,1421.50
4096,8388608,1,1,11.63,9.91,17.54,1563.22
8128,8388608,1,1,21.48,20.90,29.06,1469.90
8192,8388608,2,3,22.76,33.44,45.06,940.93
16384,8388608,3,4,40.97,51.34,58.80,1220.66
32768,8388608,5,6,66.56,84.36,92.33,1516.71
65536,8388608,9,10,127.45,153.68,172.07,1638.97
81920,8388608,11,12,164.57,189.94,218.22,1659.31
